acronym_,expansion,id,text
AC.1,Administrative Committee of the 1958,17,"24), the proposals were considered by the AC.1 Agreement at the meeting called on Thursday 14 March 2002, in the morning part of the session."
AC.1,Administrative Committee of the 1958,18,"The proposal for a new draft Regulation, concerning retrofitting of LPG and CNG equipment to vehicles which were originally designed for petrol or diesel fuelling had already been completed in April 2000, however, it remains pending on the agenda of the AC.1 Agreement awaiting until the European Community would be ready to adopt it as a Contracting Party to the 1958 Agreement."
AALCO,African Legal Consultative Organization,19,Cooperation between the United Nations and regional and other organizations (a) Cooperation between the United Nations and the Asian-AALCO (b) Cooperation between the United Nations and the Black Sea Economic Cooperation Organization (c) Cooperation between the United Nations and the Caribbean Community (d) Cooperation between the United Nations and the Council of Europe (e) Cooperation between the United Nations and the Economic Community of Central African States (f) Cooperation between the U
AALCO,African Legal Consultative Organization,20,"By a circular letter dated 5 July 2001, the Secretary-General of the Asian-AALCO announced the decision to change its name to the Asian-AALCO in accordance with its resolution RES/40/ORG 3 of 24 June 2001."
AALCO,African Legal Consultative Organization,21,"The cooperation item and its sub-items shall read as follows: ""Cooperation between the United Nations and regional and other organizations: ""(a) Cooperation between the United Nations and the Organization of African Unity; ""(b) Cooperation between the United Nations and the Organization of the Islamic Conference; ""(c) Cooperation between the United Nations and the Asian-AALCO; ""(d) Cooperation between the United Nations and the League of Arab States; ""(e) Cooperation between the United Nations and the Latin American Economic System; ""(f) Cooperation between the United Nations and the Organization of American States; ""(g) Cooperation between the United Nations and the Organization for Security and Cooperation in Europe; ""(h) Coope"
AALCO,African Legal Consultative Organization,22,"There will be a meeting of the Asian-AALCO on Tuesday, 20 November 2001, at 10 a.m. in Conference Room 8."
AALCO,Asian-African Legal Consultative Organization,23,Cooperation between the United Nations and regional and other organizations (a) Cooperation between the United Nations and the AALCO (b) Cooperation between the United Nations and the Black Sea Economic Cooperation Organization (c) Cooperation between the United Nations and the Caribbean Community (d) Cooperation between the United Nations and the Council of Europe (e) Cooperation between the United Nations and the Economic Community of Central African States (f) Cooperation between
AALCO,Asian-African Legal Consultative Organization,24,"By a circular letter dated 5 July 2001, the Secretary-General of the AALCO announced the decision to change its name to the AALCO in accordance with its resolution RES/40/ORG 3 of 24 June 2001."
AALCO,Asian-African Legal Consultative Organization,25,"The cooperation item and its sub-items shall read as follows: ""Cooperation between the United Nations and regional and other organizations: ""(a) Cooperation between the United Nations and the Organization of African Unity; ""(b) Cooperation between the United Nations and the Organization of the Islamic Conference; ""(c) Cooperation between the United Nations and the AALCO; ""(d) Cooperation between the United Nations and the League of Arab States; ""(e) Cooperation between the United Nations and the Latin American Economic System; ""(f) Cooperation between the United Nations and the Organization of American States; ""(g) Cooperation between the United Nations and the Organization for Security and Cooperation in Europe; ""(h)"
AALCO,Asian-African Legal Consultative Organization,26,"There will be a meeting of the AALCO on Tuesday, 20 November 2001, at 10 a.m. in Conference Room 8."
GPS,global positioning system,27,"140 000 Provision is made for the procurement of the following: (a) A Transpack GPS with accessories ($60,000) for the satellite navigation receiver."
GPS,global positioning system,28,"INMARSAT type ""C"" equipment for telex operation with GPS is required for military observers on patrol."
GPS,global positioning system,29,"The Conference recognized the need for efficient data acquisition methods for mapping and geographic information systems (GIS), and noted that new technical possibilities of decreasing costs and increasing efficiency had been brought about by the recent availability of aerial triangulation by means of GPSs, minimizing the need for ground control points; image motion compensation aerial survey cameras, raising the attainable photographic resolution by at least a factor of two; and the use of digital technology in orthophotography."
GPS,global positioning system,30,"The network uses a fleet management control system to track the movement of convoys, equipped with mobile transmitters, around the mission area and a GPS, which uses hand-held transmitters, to mark accurately the position of confrontation lines."
GPS,global positioning system,31,"The first deals with techniques of remote sensing, database, GPS, GIS, modelling, email, etc.,"
GPS,global positioning system,32,"Review of the latest technology in cartographic data acquisition, manipulation, storage and presentation, with special emphasis on potential applications in developing countries: (a) Map specifications; (b) Conventional and satellite geodesy, including GPSs; (c) Remote sensing for cartography; (d) Topographic and large-scale surveying and mapping; (e) Hydrographic surveying and nautical charting; (f) Aeronautical charting; (g) Cadastral surveying and mapping; (h) Small-scale mapping, national and regional atlases; (i) Thematic mapping of natural resources development and environment; (j) Automatic cartography; development a"
GPS,"Governance, peace and security",33,B. GPS 17.
GPS,"Governance, peace and security",34,"Contents Paragraphs Page Introduction The mandate for the work of the United Nations system Support for the implementation of the New Partnership for Infrastructure development GPS Agriculture, trade and market access Environment, population and urbanization Human resources development, employment and HIV/AIDS Science and technology Communication, advocacy and outreach Institutional support, advocacy and funding Conclusions and recommendations Annex 1."
GPS,"Governance, peace and security",35,"GPS Sub-Cluster: Humanitarian response and post-conflict reconstruction Promoting a rights-based approach: The activities include: developing a common framework for promoting and implementing a rights based approach at the national level including an inventory of best practices; strengthening oversight capacity for advocacy, implementation and monitoring; a review of law"
GPS,"Governance, peace and security",36,"GPS The Mechanism is fundamental to the implementation of the NEPAD priorities of political, economic and corporate governance, a central element in strengthening Africa's ownership of NEPAD and a means of attracting support from development partners."
GPS,"Governance, peace and security",37,"The regional consultative meeting of United Nations agencies working in Africa at its fourth session convened in October 2002 established five clusters under the convenership of the following agencies: (a) Infrastructure development: water and sanitation, energy, transport and information and communications technologies, ECA; (b) GPS, United Nations Development Programme (UNDP); (c) Agriculture, trade and market access, Food and Agriculture Organization of the United Nations (FAO); The cluster approach is a vehicle for coordinated response by the United Nations system, designed to enable agencies and organizations of the United Nations system to pool their efforts in support of NEPAD."
GPS,"Governance, peace and security",38,GPS 18.
GPS,Global Positioning System,39,"space industry was represented by participants from Aerospatiale (France), Daimler-Benz Aerospace (DASA) (Germany), Gesellschaft für angewandte Fernerkundung (Germany), GISAT (Czech Republic), Resource 21 (United States of America), Satellite pour l’observation de la terre (SPOT) Image (France), Surrey Satellite Technology Ltd. (United Kingdom of Great Britain and Northern Ireland), United States GPS Industry Council and the World Space Foundation (United States)."
GPS,Global Positioning System,40,"Environmental Database of the Office of the United Nations High Commissioner for Refugees (UNHCR) To access information vital to the planning and management of sustainable refugee camps and settlements, UNHCR's Environmental Database uses geographical information systems as well as the GPS and satellite images to collect and analyse relevant environmental data."
GPS,Global Positioning System,41,"ght-time line-of-sight visual observation; (ii) Have the capability to detect, identify and categorize persons or items within a range of 1,000 metres or more; (iii) Have the ability to conduct night-time patrols and to intercept missions; (b) Positioning: have the capability to determine the exact geographical location of a person or item within the area of operations through the combined use of GPSs and Laser Range Finders."
GPS,Global Positioning System,42,"world"", co-sponsored by IAF, ESA and CEC, to be held prior to the 46th IAF Congress at Oslo in 1995; (c) An international conference on near-Earth objects, in conjunction with the Explorer's Club, The Planetary Society, the United States National Aeronautics and Space Administration (NASA) and Sandia National Laboratories, held at New York in April 1995; (d) The Third International Seminar on the GPS in Central Europe, held at Penc, Hungary, in May 1995; (e) The First Conference on Space Technology and Developing Countries, held at Tehran in May 1995; (f) Symposia and workshops in conjunction with the COSPAR and ISPRS meetings to be held in 1996."
GPS,Global Positioning System,43,"The space-based component of the investigation included multi-channel imagery from the LANDSAT thematic mapper, the French SPOT and Russian high-resolution imaging satellites and the use of the GPS."
GPS,Global Positioning System,44,"With regard to communications requirements of $106,100, these would include INMARSAT satellite telephone terminals ($42,600), radio equipment to accommodate 17 added security and safety officers ($23,000) and GPS equipment to aid investigators in pinpointing crime scenes ($30,000) would be required."
E-PRTR,European PRTR,45,The proposal for a Regulation to establish a E-PRTR refers to Directive 2004/3/EC on Access to Environmental Information when dealing with confidentiality.
E-PRTR,European PRTR,46,"Measures undertaken by the EC, notably the preparation and possible adoption of an EU regulation to establish a E-PRTR in line with the requirements of the Protocol, were expected to speed up the process of ratification."
E-PRTR,European PRTR,47,"Towards the Community's ratification of tIn order to ratify the UN-ECE Protocol, the Commission has has adopted a proposal for a Rregulation concerning the establishment of E-PRTRs."
E-PRTR,European PRTR,48,"The already existingcurrent, more limited, EPER, has willshould to be replaced by a comprehensive E-PRTR."
E-PRTR,European PRTR,49,ECO Forum further asked the EU to ensure full public participation in the preparation of the E-PRTR.
E-PRTR,European PRTR,50,All the iInformation about on EPER and the future E-PRTR will is can be found be displayed on the official website of the Environment Protection AgencyEPA (http://aaa.am.lt).
E-PRTR,European Pollutant Release and Transfer Register,51,"Within this context, the European Commission will be invited to inform the Working Group about implementation of the regulation establishing the E-PRTR."
E-PRTR,European Pollutant Release and Transfer Register,52,"Mr. B. Melhorn (European Commission, Directorate General for Environment) informed about the European Pollution Emission Register (EPER), a process under Council Directive 96/61/EC concerning integrated pollution prevention and control (IPPC) (""the IPPC Directive""), that was similar to the E-PRTR www.eper.cec.eu.int."
E-PRTR,European Pollutant Release and Transfer Register,53,"The European Commission informed the Working Group about the Regulation establishing the E-PRTR published on 4 February 2006 (Regulation (EC) No 166/2006), enabling the European Community to deposit its instrument of approval of the Protocol on 21 February 2006."
E-PRTR,European Pollutant Release and Transfer Register,54,"The European Commission informed the Working Group about implementation of the Regulation establishing the E-PRTR (Regulation (EC) No 166/2006) and the release of the second report of the European Pollutant Emission Register (EPER), covering emissions in 25 European Union countries in 2004."
E-PRTR,European Pollutant Release and Transfer Register,55,"Within this context, the European Commission will be invited to inform the Working Group about the regulation establishing the E-PRTR (European PRTR) adopted on 4 February 2006."
E-PRTR,European Pollutant Release and Transfer Register,56,166/2006 of the European Parliament and of the Council of 18 January 2006 concerning the establishment of a E-PRTR sets out a procedure for adapting the annexes to this Regulation to scientific and technical progress.
IDPs,Internally Displaced People,57,"The NRC/Global IDP Survey’s aforementioned IDPs: A Global Overview, published in 1998, and its undertaking of the Global IDP Database project currently under way also are relevant in providing country-specific analyses of the conditions of the internally displaced and indications of the nature and effectiveness of efforts to address these."
IDPs,Internally Displaced People,58,"The NRC/Global IDP Survey's aforementioned IDPs: A Global Overview, published in 1998, and its undertaking of the Global IDP Database project currently under way also are relevant in providing country—specific analyses of the conditions of the internally displaced and indications of the nature and effectiveness of efforts to address these."
IDPs,Internally Displaced People,59,"The Global IDP Survey of the Norwegian Refugee Council has appended the Guiding Principles to its recent publication IDPs: A Global Survey and, at the London launching of this survey, held a one—day workshop, in which the office of the Representative participated, to promote the use of the Principles by non—governmental organizations."
IDPs,Internally Displaced People,60,"Centre for Strategic and International Studies, Azerbaijan, A Sociological Study on IDPs: Humanitarian Aid, Needs and Survival Strategies (Baku: UNHCR, March 1996); and WHO, Centre for Disease Control and Prevention, and UNICEF in collaboration with Relief International and Médecins Sans Frontières/Holland, “Health and nutrition survey of internally displaced and resident population of Azerbaijan” (Baku: April 1996), both cited in Thomas Greene, “Internal D"
IDPs,Internally Displaced People,61,"On 20 July, a seminar on “IDPs: International Commitments” was co-hosted by the NRC/Global IDP Survey and the Overseas Development Institute of the United Kingdom."
IDPs,Internally Displaced People,62,"See, e.g., U.S. Committee for Refugees, Feeding the Tiger: Colombia's IDPs (1993) at 1 [hereinafter USCR report]; ICVA, Mission to Colombia (1991) at 10."
IDPs,internally displaced people,63,It urged the Commission to establish a mechanism that would help ensure the protection of the rights of IDPs.
IDPs,internally displaced people,64,The resettlement of some 1 million IDPs and hundreds of thousands of refugees could not proceed owing to security problems.
IDPs,internally displaced people,65,"In cooperation with UNHCR and the National Children's Rights Committee, UNICEF is assessing the needs of women and children, with particular emphasis on the resettlement of returnees and the victims of violence and other IDPs."
IDPs,internally displaced people,66,"In addition, IDPs are estimated at some 23 million."
IDPs,internally displaced people,67,"Assessments by the United Nations and its partners in emergency relief have identified approximately 1.7 million IDPs in southern Sudan, in the transitional zones and in urban centres, who are in need of assistance."
IDPs,internally displaced people,68,"There was growing information that armed men considered attachés in their areas of origin were operating in the slums and working-class districts of Port-au-Prince, together with or acting as members of FRAPH, to seek out IDPs in the city."
ProFi,programme and financial information,69,"16.135 Extrabudgetary resources estimated at $30,354,100 would support the ProFi management system, shared support services, external and internal audit costs, programme support functions in the Division for Management and the information technology component of technical cooperation projects."
ProFi,Programme and Financial Management Information,70,ProFi System Draft resolution on the Fund of the United Nations International Drug Control Programme for adoption by the Commission on Narcotic Drugs The Fund of the United Nations International Drug Control Programme is covered in the report of the Executive Director on the consolidated budget for the biennium 2006-2007 for the United Nations Office on Dru
ProFi,Programme and Financial Management Information,71,"the Galaxy automated recruitment, placement and promotion system in the Department of Management; (b) the Integrated Monitoring and Documentation Information System in the Department of Economic and Social Affairs; (c) the Programme Monitoring System in the United Nations Conference on Trade and Development (UNCTAD) and the Economic and Social Commission for Asia and the Pacific (ESCAP); (d) the ProFi System in the Office for Drug Control and Crime Prevention; and (e) the Work Plans and Implementation Tracking System in the Office of Internal Oversight Services; (f) similarly, as of the biennium 2002-2003, the United Nations Educational, Scientific and Cultural Organization (UNESCO) has introduced an integrated management information system to supp"
ProFi,Programme and Financial Information Management System,72,"Encourages the United Nations Office on Drugs and Crime, subject to the availability of extrabudgetary financial resources, to extend the ProFi to the activities funded by the United Nations Crime Prevention and Criminal Justice Fund, so that Member States are provided with up-to-date online financial information on those activities; 7."
ProFi,Programme and Financial Information Management System,73,"ProFi Since 1995, both OIOS and the Board of Auditors have strongly recommended that the old UNDCP financial management system be replaced as soon as practically possible to ensure adequate monitoring and control over the funds entrusted to UNDCP and to allow timely dissemination of financial information to Member States."
ProFi,Programme and Financial Information Management System,74,"28F.36 During the biennium 2008-2009, the following outputs will be delivered: (a) Applications support encompassing design, implementation and maintenance of workflow application systems, such as the United Nations Office at Vienna and UNODC Enterprise Resource Planning systems (IMIS and the ProFi), and specialized substantive programmes (e.g., National Drug Control System and International Drug Control System); (b) Development and maintenance of information technology and telecommunications infrastructure elements, applications and information technology procedures for business continuity/disaster recovery in cooperation with Headquarte"
ProFi,Programme and Financial Information Management System,75,"In that regard, speakers welcomed both the delegation of authority and the future implementation of the ProFi, noting that it would make available detailed information about the status of projects and expenditures under the different programmes."
ProFi,Programme and Financial Information Management System,76,ProFi XIV.
ProFi,Programme and Financial Information,77,"Encourages the United Nations Office on Drugs and Crime, subject to the availability of extrabudgetary financial resources, to extend the ProFi Management System to the activities funded by the United Nations Crime Prevention and Criminal Justice Fund, so that Member States are provided with up-to-date online financial information on those activities; 7."
ProFi,Programme and Financial Information,78,"ProFi Management System Since 1995, both OIOS and the Board of Auditors have strongly recommended that the old UNDCP financial management system be replaced as soon as practically possible to ensure adequate monitoring and control over the funds entrusted to UNDCP and to allow timely dissemination of financial information to Member States."
ProFi,Programme and Financial Information,79,"28F.36 During the biennium 2008-2009, the following outputs will be delivered: (a) Applications support encompassing design, implementation and maintenance of workflow application systems, such as the United Nations Office at Vienna and UNODC Enterprise Resource Planning systems (IMIS and the ProFi Management System), and specialized substantive programmes (e.g., National Drug Control System and International Drug Control System); (b) Development and maintenance of information technology and telecommunications infrastructure elements, applications and information technology procedures for business continuity/disaster recovery in cooperation with Headquarte"
ProFi,Programme and Financial Information,80,"In that regard, speakers welcomed both the delegation of authority and the future implementation of the ProFi Management System, noting that it would make available detailed information about the status of projects and expenditures under the different programmes."
ProFi,Programme and Financial Information,81,ProFi Management System XIV.
UNU-ONY,UNU Office in New York,82,"For further information, please visit the UNU-ONY Web site (www.ony.unu.edu); or e-mail unuona@ony.unu.edu; or tel."
UNU-ONY,United Nations University Office in New York,83,"For more information, please contact the UNU-ONY (tel."
UNU-ONY,United Nations University Office in New York,84,"At the 37th meeting, on 18 November, the Director of the UNU-ONY also made an introductory statement (see A/C.2/57/SR.37)."
UNU-EHS,UNU Institute for Environment and Human Security,85,"Animals, the German Committee for Disaster Reduction, FAO, the Global Fire Monitoring Centre, the International Federation of Red Cross and Red Crescent Societies, the Office for the Coordination of Humanitarian Affairs, UNEP, UNESCO and its Intergovernmental Oceanographic Commission, the United Nations Framework Convention on Climate Change, the United Nations Office for Outer Space Affairs, the UNU-EHS, WFP and WMO."
UNU-EHS,UNU Institute for Environment and Human Security,86,"Project partners are UNU/INWEH, UNU-EHS (UNU/EHS), UNEP, UNESCO, the Scottish Association for Marine Science, the Land-Ocean Interactions in the Coastal Zone science network, and the University of Plymouth."
UNU-EHS,UNU Institute for Environment and Human Security,87,tural Organization UNHCR Office of the United Nations High Commissioner for Refugees UNICEF United Nations Children's Fund UNIFEM United Nations Development Fund for Women UNITAR United Nations Institute for Training and Research UNU United Nations University UNU/BIOLAC UNU Programme for Biotechnology in Latin America and the Caribbean UNU/CRIS UNU Comparative Regional Integration Studies UNU/EHS UNU-EHS UNU/ESD UNU Environment and Sustainable Development Programme UNU/FAP UNU Financial Assistance Programme UNU/FNP UNU Food and Nutrition Programme for Human and Social Development UNU/FTP UNU Fisheries Training Programme UNU/GTP UNU Geothermal Training Programme UNU/IIGH UNU International Institute for Global Health UNU/IIST UNU International Institu
UNU-EHS,UNU Institute for Environment and Human Security,88,"The Board noted that the following deficiencies in the management of temporary contractors: (a) At the UNU Centre and the UNU-EHS, there was no formal remuneration scale for temporary contractors; (b) Two contractors engaged by the UNU Centre under personnel service agreements at the equivalent of the P-3 and P-4 levels, were awarded contracts without the approval of the Rector of UNU."
UNU-EHS,UNU Institute for Environment and Human Security,89,"Centre/Kuala Lumpur; UNU Vice-Rectorate in Europe (UNU/ViE, Bonn); UNU Office at the United Nations (UNU/ONY, New York); UNU Office at UNESCO (Paris) Research and training centres/programmes UNU Programme for Biotechnology in Latin America and the Caribbean (UNU/BIOLAC), Caracas, Bolivarian Republic of Venezuela UNU Programme on Comparative Regional Integration Studies (UNU/CRIS), Bruges, Belgium UNU-EHS (UNU/EHS), Bonn, Germany UNU Food and Nutrition Programme for Human and Social Development (UNU/FNP), Ithaca, New York, United States of America UNU Fisheries Training Programme and UNU Geothermal Training Programme (UNU/FTP and UNU/GTP), Reykjavík, Iceland UNU Institute of Advanced Studies (UNU/IAS), Yokohama, Japan UNU International Institute for"
UNU-EHS,UNU Institute for Environment and Human Security,90,"The audit was carried out through field visits to the UNU-EHS, in Germany; the UNU Maastricht Economic and Social Research Institute on Innovation and Technology, in the Netherlands; and the UNU International Institute for Global Health, in Malaysia, as well as a review of the financial transactions and operations at the UNU headquarters offices in Tokyo and Kuala Lumpur."
UNU-EHS,United Nations University Institute for Environment and Human Security,91,"Global Forum on the Effective Use of Telecommunications and Information and Communication Technologies for Disaster Management: Saving Lives, Geneva, 10-13 December First Advisory Group Meeting of the International Early Warning Programme of the International Strategy for Disaster Reduction, Bonn, Germany, 26-27 March UNU-EHS, Bonn, Germany, 30 March Seventeenth Meeting of the Executive Secretariat of the International Charter ""Space and Major Disasters"", Tokyo, 11-13 April 36-month Integration Meeting of the Global Monitoring for Security and Stability, The Hague, Netherlands, 16-17 April Annual Stakeholder Meeting of the Global Disaster Alert and"
UNU-EHS,United Nations University Institute for Environment and Human Security,92,"In cooperation with partners such as the UNU-EHS, ISDR-PPEW, the International Organization for Migration, the Organization for Security and Cooperation in Europe, and the International Labour Organization, review the issue of desertification-induced migration at local, regional and global levels, as recommended by the Almeria Statement Activities Contribution to mechanisms a"
UNU-EHS,United Nations University Institute for Environment and Human Security,93,"The following organizations also contributed: the UNU-EHS, the United Nations Educational, Scientific and Cultural Organization, the International Strategy for Disaster Reduction Platform for the Promotion of Early Warning, the Group on Earth Observations and the German Committee for Disaster Reduction."
UNU-EHS,United Nations University Institute for Environment and Human Security,94,"UNU-EHS, Bonn, Germany http://www.ehs.unu.edu http://www.inweh.unu.edu Information circular* To: Members of the staff at Headquarters From: The Under-Secretary-General for Safety and Security Subject: Arrangements for admission to United Nations Headquarters 1."
UNU-EHS,United Nations University Institute for Environment and Human Security,95,"UNU-EHS, Bonn, Germany http://www.ehs.unu.edu http://www.inweh.unu.edu Information circular* From: The Under-Secretary-General for Management Commemorative stamps 1."
UNU-EHS,United Nations University Institute for Environment and Human Security,96,"UNU-EHS, Bonn, Germany http://www.ehs.unu.edu/ http://www.inweh.unu.edu Information circular* To: Members of the staff From: The Assistant Secretary-General for Human Resources Management Subject: Working hours during the sixty-first session of the General Assembly 1."
UNU-WIDER,United Nations University World Institute for Development Economics Research,97,"IRC has gained increasing recognition as a forum bringing together academics, policy makers, field workers and experts on children, marked by a high participation of United Nations partners, including UNDP, the Office of the United Nations High Commissioner for Human Rights, the United Nations Office on Drugs and Crime, the International Labour Organization, WHO, the UNU-WIDER and the United Nations Research Institute for Social Development."
UNU-WIDER,United Nations University World Institute for Development Economics Research,98,"The lead discussants were Mr. Tony Addison, Deputy Director, UNU-WIDER; and Ms. Nada Al-Nashif, Assistant Director-General and Regional Director for the Arab States, International Labour Organization."
UNU-WIDER,United Nations University World Institute for Development Economics Research,99,The UNU-WIDER continues a research project designed to improve the capacity in Africa for assessing the impact of policy change at the level of individual households.
UNU-WIDER,United Nations University World Institute for Development Economics Research,100,"The panellists were Mr. Richard Kozul-Wright, Director, Unit on Economic Cooperation and Integration Among Developing Countries, UNCTAD; Mr. Martin Khor, Executive Director, South Centre; Mr. Rob Davies, Minister of Trade and Industry, South Africa; Mr. Anand Sharma, Minister of Commerce and Industry, India; and Mr. Tony Addison, Chief Economist and Deputy Director, UNU-WIDER."
UNU-WIDER,United Nations University World Institute for Development Economics Research,101,"UNU-WIDER, Helsinki http://wider.unu.edu 4."
UNU-WIDER,UNU World Institute for Development Economics Research,102,At the UNU-WIDER (UNU/WIDER) in Helsinki: Economics of transition Liberalization and development in sub-Saharan Africa Institutional and distributive issues International finance and economic issues 4.
UNU-WIDER,UNU World Institute for Development Economics Research,103,"As a contribution to the World Summit for Social Development, the UNU-WIDER organized a research meeting at Helsinki in June 1994 on the topic “The Politics and Economics of Global Employment”."
UNU-WIDER,UNU World Institute for Development Economics Research,104,"The UNU-WIDER (UNU/WIDER) was designated the focal point of UNU for the World Summit for Social Development and it organized a conference on global employment questions, the outcome of which was a two-volume study entitled Global Employment: An International Investigation into the Future of Work that was made available to the Preparatory Committee of the Su"
UNU-WIDER,UNU World Institute for Development Economics Research,105,"At the UNU-WIDER in Helsinki, Finland: Growth and sustainable development Employment, equity and gender issues Global change and perspectives 3."
UNU-WIDER,UNU World Institute for Development Economics Research,106,"In June, the UNU-WIDER (UNU/WIDER) moved to new temporary premises made available by the Government of Finland, and the UNU International Institute for Software Technology (UNU/IIST) relocated to new temporary premises in Macau."
GEF,Global Environment Facility,107,"Takes note of the decision by the participants in the GEF, in the ongoing process of restructuring the Facility, that activities on land degradation, in so far as they relate to the programme areas of the Facility, are eligible for funding from it; 2."
GEF,Global Environment Facility,108,"n particular: (a) In the case of the Programme Committee, part IV, sections A (The UNEP programme for 1994-1995 and implementation of Agenda 21) and B (International coordinating machinery for Agenda 21) of the Executive Director's report; (b) In the case of the Fund Committee, part II (New directions in management of UNEP), and part IV, sections C (UNEP management and organization study), D (The GEF) and E (The financial situation) of the report."
GEF,Global Environment Facility,109,The GEF (decision 17/40) 155.
GEF,Global Environment Facility,110,"hip between disaster reduction measures and sustainable development in their investment and technical assistance programmes; to this end, a joint meeting of the Special High-Level Council and the Scientific and Technical Committee with development organizations would be an important step; (g) To call specifically on the World Bank, UNDP and UNEP, in their regular programmes and as managers of the GEF, to recognize the eligibility for funding of projects for the Decade that are directed towards reducing vulnerability to disasters and provide responses to global warming, including drought and cyclone preparedness and prevention projects; 2."
GEF,Global Environment Facility,111,"ration of sessions of the Governing Council 21 May 1993 85 17/36 Provision of language facilities for the Committee of Permanent Representatives 21 May 1993 85 17/37 Reduction of Governing Council documentation 21 May 1993 86 17/38 Improvement of facilities at the United Nations Office at Nairobi 21 May 1993 87 17/39 Management of trust funds and counterpart contributions 21 May 1993 88 17/40 The GEF 21 May 1993 92 17/41 Financial management and structure of Programme, including presentation of financial information and the budget of the United Nations Environment Programme 21 May 1993 94 17/42 Report of the Committee of Permanent Representatives on proposals for enhancing the effectiveness and efficiency of the United Nations Environment Programme in fulfilling its"
GEF,Global Environment Facility,112,The Commission on Sustainable Development and the GEF were established facts and would play key roles in the future actions to follow up UNCED.
GEF,Global Environmental Facility,113,"Coordination, harmonization and liaison Coordination with the GEF and other United Nations regional and international offices and agencies concerned with environment and development for the implementation of Agenda 21."
GEF,Global Environmental Facility,114,"ganize in Africa the follow-up and coordination of the implementation of all the agreements of the Conference, including Habitat II; (e) Mobilization of resources for the implementation of Agenda 21 and related decisions of the Conference; (f) Assistance to African countries to facilitate their participation in all international and regional conventions as well as global negotiations, such as the GEF, the United Nations Conference on Straddling Fish Stocks and Highly Migratory Fish Stocks, and any further negotiations on the management, conservation and sustainable development of all types of forests; (g) Formulation and implementation of national, subregional and regional strategies for the implementation of Agenda 21; (h) Capacity-building programmes at the nati"
