,acronym,actual,prediction,text
10,E-PRTR,european pollutant release and transfer register,european prtr,"E-PRTR european prtr european pollutant release and transfer register european pollutant release and transfer register european pollutant release and transfer register european pollutant release and transfer registerMr. B. Melhorn (European Commission, Directorate General for Environment) informed about the European Pollution Emission Register (EPER), a process under Council Directive 96/61/EC concerning integrated pollution prevention and control (IPPC) (""the IPPC Directive""), that was similar to the E-PRTR www.eper.cec.eu.int."
11,E-PRTR,european pollutant release and transfer register,european prtr,"E-PRTR european prtr european pollutant release and transfer register european pollutant release and transfer register european pollutant release and transfer register european pollutant release and transfer registerThe European Commission informed the Working Group about implementation of the Regulation establishing the E-PRTR (Regulation (EC) No 166/2006) and the release of the second report of the European Pollutant Emission Register (EPER), covering emissions in 25 European Union countries in 2004."
12,IDPs,internally displaced people,internally displaced people,"IDPs internally displaced people internally displaced people internally displaced peopleOn 20 July, a seminar on “IDPs: International Commitments” was co-hosted by the NRC/Global IDP Survey and the Overseas Development Institute of the United Kingdom."
13,IDPs,internally displaced people,internally displaced people,"IDPs internally displaced people internally displaced people internally displaced peopleAssessments by the United Nations and its partners in emergency relief have identified approximately 1.7 million IDPs in southern Sudan, in the transitional zones and in urban centres, who are in need of assistance."
14,ProFi,programme and financial information,programme and financial information,"ProFi programme and financial information programme and financial information programme and financial information programme and financial information16.135 Extrabudgetary resources estimated at $30,354,100 would support the ProFi management system, shared support services, external and internal audit costs, programme support functions in the Division for Management and the information technology component of technical cooperation projects."
15,ProFi,programme and financial information,programme and financial information,ProFi programme and financial information programme and financial information programme and financial information programme and financial informationProFi System Draft resolution on the Fund of the United Nations International Drug Control Programme for adoption by the Commission on Narcotic Drugs The Fund of the United Nations International Drug Control Programme is covered in the report of the Executive Director on the consolidated budget for the biennium 2006-2007 for the United Nations Office on Dru
16,ProFi,programme and financial information,programme and financial information,"ProFi programme and financial information programme and financial information programme and financial information programme and financial informationIn that regard, speakers welcomed both the delegation of authority and the future implementation of the ProFi Management System, noting that it would make available detailed information about the status of projects and expenditures under the different programmes."
17,UNU-EHS,united nations university institute for environment and human security,united nations university institute for environment and human security,"UNU-EHS united nations university institute for environment and human security united nations university institute for environment and human security united nations university institute for environment and human securityAnimals, the German Committee for Disaster Reduction, FAO, the Global Fire Monitoring Centre, the International Federation of Red Cross and Red Crescent Societies, the Office for the Coordination of Humanitarian Affairs, UNEP, UNESCO and its Intergovernmental Oceanographic Commission, the United Nations Framework Convention on Climate Change, the United Nations Office for Outer Space Affairs, the UNU-EHS, WFP and WMO."
18,UNU-EHS,united nations university institute for environment and human security,united nations university institute for environment and human security,"UNU-EHS united nations university institute for environment and human security united nations university institute for environment and human security united nations university institute for environment and human securityProject partners are UNU/INWEH, UNU-EHS (UNU/EHS), UNEP, UNESCO, the Scottish Association for Marine Science, the Land-Ocean Interactions in the Coastal Zone science network, and the University of Plymouth."
19,UNU-EHS,united nations university institute for environment and human security,united nations university institute for environment and human security,"UNU-EHS united nations university institute for environment and human security united nations university institute for environment and human security united nations university institute for environment and human securityThe audit was carried out through field visits to the UNU-EHS, in Germany; the UNU Maastricht Economic and Social Research Institute on Innovation and Technology, in the Netherlands; and the UNU International Institute for Global Health, in Malaysia, as well as a review of the financial transactions and operations at the UNU headquarters offices in Tokyo and Kuala Lumpur."
20,UNU-WIDER,united nations university world institute for development economics research,united nations university world institute for development economics research,"UNU-WIDER united nations university world institute for development economics research united nations university world institute for development economics research united nations university world institute for development economics researchIRC has gained increasing recognition as a forum bringing together academics, policy makers, field workers and experts on children, marked by a high participation of United Nations partners, including UNDP, the Office of the United Nations High Commissioner for Human Rights, the United Nations Office on Drugs and Crime, the International Labour Organization, WHO, the UNU-WIDER and the United Nations Research Institute for Social Development."
21,UNU-WIDER,united nations university world institute for development economics research,united nations university world institute for development economics research,"UNU-WIDER united nations university world institute for development economics research united nations university world institute for development economics research united nations university world institute for development economics researchAt the UNU-WIDER in Helsinki, Finland: Growth and sustainable development Employment, equity and gender issues Global change and perspectives 3."
22,GEF,global environment facility,global environment facility,"GEF global environment facility global environment facility global environment frameworkhip between disaster reduction measures and sustainable development in their investment and technical assistance programmes; to this end, a joint meeting of the Special High-Level Council and the Scientific and Technical Committee with development organizations would be an important step; (g) To call specifically on the World Bank, UNDP and UNEP, in their regular programmes and as managers of the GEF, to recognize the eligibility for funding of projects for the Decade that are directed towards reducing vulnerability to disasters and provide responses to global warming, including drought and cyclone preparedness and prevention projects; 2."
23,GEF,global environment facility,global environment facility,"GEF global environment facility global environment facility global environment frameworkACC also strongly supports the replenishment of the GEF in 1993 and the financing of UNDP's Capacity 21, since both would provide resources for the implementation of part of Agenda 21."
24,SPPD,support for policy and programme development,support for policy and programme development,"SPPD support for policy and programme development support for policy and programme development support for policy and programme development support for policy and programme development support for policy and programme developmentHowever, a portion of the technical services provided by the agencies under these facilities could well be considered as falling under the SPPD subcategory mentioned in the preceding paragraph."
25,SPPD,support for policy and programme development,support for policy and programme development,SPPD support for policy and programme development support for policy and programme development support for policy and programme development support for policy and programme development support for policy and programme developmentThe Associate Administrator proposed that UNIFEM be allowed to access SPPD programme development under the new support-cost arrangements.
26,SPPD,support for policy and programme development,support for policy and programme development,"SPPD support for policy and programme development support for policy and programme development support for policy and programme development support for policy and programme development support for policy and programme developmentSPPD/support technical services Subtotal 6 525a UNDP other resources Government cost-sharing Sustainable development funds of which: Global Environment Facility Montreal Protocol Danish Trust Fund Grand total 17 313a a Not inclusive of TRAC 1.1.2, which is allocated regionally for subsequent country application."
27,SPPD,support for policy and programme development,support for policy and programme development,"SPPD support for policy and programme development support for policy and programme development support for policy and programme development support for policy and programme development support for policy and programme developmentTRAC 1 - 152 SPPD - 255 Other 6,692 Subtotal - 10,326 Recovery processes at the community level."
28,SPPD,support for policy and programme development,support for policy and programme development,"SPPD support for policy and programme development support for policy and programme development support for policy and programme development support for policy and programme development support for policy and programme developmentEmphasizes the importance of the flexible and notional character of the special allocations under lines 1.6 (resources for implementation), 2.2 (United Nations system SPPDt), 2.3 (technical support services from United Nations specialized agencies) and takes note of the inclusion of"
29,SPPD,support for policy and programme development,support for policy and programme development,"SPPD support for policy and programme development support for policy and programme development support for policy and programme development support for policy and programme development support for policy and programme developmentHowever, a portion of the technical services provided by the agencies under these facilities could well be considered as falling under the SPPDt subcategory mentioned in the preceding paragraph."
30,IMF,international monetary fund,international monetary fund,"IMF international monetary fund international monetary fundelevant international and regional organizations and arrangements, of a list, as well as scope of trade preferences for each country concerned; (v) Recommendations regarding export quotas on goods and commodities; (vi) Holding of consultations with a view to lowering tariff barriers and removing restrictions on the trade of certain goods and commodities; (vii) Elaboration, in cooperation with the IMF and the World Bank, of programmes aimed at improving the financial situation of States that sustain economic damage; (c) The establishment of an emergency fund to meet the claims of countries that have sustained losses, which would be financed on the basis of the scale of assessments for peace-keeping operations, as well as through voluntary contributions from Governmen"
31,IMF,international monetary fund,international monetary fund,"IMF international monetary fund international monetary fundOn the occasion of the World Conference, the United Nations should review its monitoring and advisory mechanisms, as well as the functioning of its own bodies in the economic field (the IIMF and the World Bank), since the latter's decisions directly affect the observance of human rights."
32,MNF-I,multinational force in iraq,multinational force in iraq,"MNF-I multinational force in iraq multinational force in iraq multinational force in iraqIn a statement to the press, the President reported that Council members had agreed upon the continuation of the mandate of the MNF-I in accordance with Secu"
33,MNF-I,multinational force in iraq,multinational force in iraq,"MNF-I multinational force in iraq multinational force in iraq multinational force in iraqIraq On 31 May, at an open meeting, the Council heard a briefing by the Minister for Foreign Affairs of Iraq, Hoshyar Zebari, and a briefing on the activity of the MNF-I by the representative of the United States of America, Ambassador Anne Patterson."
34,MNF-I,multinational force in iraq,multinational force in iraq,"MNF-I multinational force in iraq multinational force in iraq multinational force in iraqThey also urged all concerned parties, including the MNF-I to respect the civil and religious rights of the people of Iraq, and to preserve and maintain all sites associated with the religious, cultural and historical heritage of Iraq."
35,MNF-I,multinational force in iraq,multinational force in iraq,"MNF-I multinational force in iraq multinational force in iraq multinational force in iraqUpon enquiry, the Advisory Committee was informed that, in those locations, UNAMI would use existing MNF-I facilities already in place, for security reasons and with a view to limiting costs, instead of creating its own premises and offices."
36,MNF-I,multinational force in iraq,multinational force in iraq,"MNF-I multinational force in iraq multinational force in iraq multinational force in iraqTo this end, arrangements are being discussed and a memorandum of understanding is being concluded between the United Nations and the MNF-I."
37,HFCV-SGE,hydrogen and fuel cell vehicles subgroup environment,hydrogen and fuel cell vehicles subgroup environment,HFCV-SGE hydrogen and fuel cell vehicles subgroup environment hfcv subgroup environment hydrogen and fuel cell vehicles subgroup environment hydrogen and fuel cell vehicles subgroup environmentHFCV-SGE (agenda item 7) 40.
38,MoUs,memoranda of understanding,memoranda of understanding,"MoUs memoranda of understanding memoranda of understanding memoranda of understandingDuring 2001, UNDP signed two formal agreements in the form of MoUs with the African Development Bank and the Asian Development Bank."
39,MoUs,memoranda of understanding,memoranda of understanding,"MoUs memoranda of understanding memoranda of understanding memoranda of understandingfurther, participants proposed: that a review should be undertaken of the ways and means to enhance the actual mechanisms of cooperation; that contacts should be intensified between the focal points of the two organizations; that additional cooperation arrangements between United Nations and OIC institutions should, where appropriate, be concluded, in line with General Assembly resolutions; that MoUs should be signed between all the agencies of the United Nations and the OIC wherever relevant; that suitable programmes should be identified and formulated within the framework of cooperation; and that serious efforts should be made by both organizations to include projects and activities with longer life and continuing substantive value for member countries."
40,MoUs,memoranda of understanding,memoranda of understanding,"MoUs memoranda of understanding memoranda of understanding memoranda of understandingTo further extend cooperation between commercial carriers and customs authorities, CCC, in June 1992, adopted the Declaration on the Further National Development of MoUs between Customs and the Trading Community aimed at Cooperation to prevent Drug Smuggling."
41,ISI,islamic state of iraq,islamic state of iraq,"ISI islamic state of iraq international statistical instituteOn 3 December, Abu Omar al-Baghdadi, a leader of the self-declared ISI (presumably affiliated with Al-Qaida in Iraq), declared a renewed campaign against military forces and anyone found cooperating with them."
42,ISI,islamic state of iraq,islamic state of iraq,"ISI islamic state of iraq international statistical instituteThis trend is believed to be the result of reengagement by specialized insurgent groups, such as the ISI, who claim affiliation with Al-Qaida in Iraq."
43,ISI,international statistical institute,international statistical institute,"ISI islamic state of iraq international statistical instituted Nations Industrial Development Organization, General Agreement on Tariffs and Trade Intergovernmental organizations Customs Cooperation Council, European Economic Community, Inter-American Development Bank, Organisation for Economic Cooperation and Development, Statistical Committee of the Commonwealth of Independent States, World Tourism Organization Non-governmental organizations Category II: ISI Organization of Islamic Capitals and Cities Roster: International Association for Research in Income and Wealth Expert adviser Willem A. Van Den Andel Annex II AGENDA OF THE TWENTY-SEVENTH SESSION 3."
44,C.I.,compression ignition,compression ignition,C.I. compression ignition consumers international compression ignitionVehicles with C.I. engines: Smoke absorption coefficient (acc.
45,C.I.,compression ignition,compression ignition,C.I. compression ignition consumers international compression ignition(2) EX/III transport units: whose engine shall be of the C.I. construction.
46,C.I.,compression ignition,compression ignition,"C.I. compression ignition consumers international compression ignitionVehicles with C.I. engines: - incomplete Idling speed - does not conform to manufacturer's specification, if available Smoke absorption coefficient (acc."
47,UNDP,united nations development agenda,united nations development programme,"UNDP united nations development programme united nations development agenda development programmes regional bureau for europeIts objective is to determine the role of participatory governance in achieving the UNDP, with a view to recommending policy options for Member States to better institutionalize participatory arrangements and processes."
48,UNDP,development programmes regional bureau for europe,united nations development programme,"UNDP united nations development programme united nations development agenda development programmes regional bureau for europeonal workshops ... No budget, but workplan indicates costs of $5,000 per meeting Capacity-building in the countries of Eastern Europe, Caucasus and Central Asia, and others NordStream, for first of three years Training course, Tajikistan (and in other Central Asian States) Institutional and procedural activities for the Protocol Germany, Netherlands and the United Kingdom No budget United Nations UNDP and the Commonwealth of Independent States Summer 2004 - April 2005 Regional Environmental Center for Central and Eastern Europe (REC-CEE) Dec-04 - Apr-05 REC-CEE Spring 2005 Remaining $30,000 from Espoo Trust Fund b) In the ""Notes"" column, ""workplan"" refers to ECE/MP.EIA, annex IX."
49,PFOS,perfluorooctane sulfonate,perfluorooctane sulfonate,PFOS perfluorooctane sulfonate perfluorooctane sulfonate perfluorooctane sulfonate(e) PFOS The Committee has before it a proposal by Sweden for listing perfluorooctane sulfonate in Annex A of the Convention (UNEP/POPS/POPRC.1/INF/9) and a summary of the proposal prepared by the Secretariat (UNEP/POPS/POPRC.1/9).
50,PFOS,perfluorooctane sulfonate,perfluorooctane sulfonate,"PFOS perfluorooctane sulfonate perfluorooctane sulfonate perfluorooctane sulfonateFollowing a discussion on the proposal, it was agreed that the submission for PFOS should also refer to its salts and the proposal should therefore be entitled ""PFOS and its salts""."
51,PFOS,perfluorooctane sulfonate,perfluorooctane sulfonate,"PFOS perfluorooctane sulfonate perfluorooctane sulfonate perfluorooctane sulfonateAfter further discussion, the Committee agreed to set up an open-ended contact group to prepare an evaluation of whether PFOS fulfilled the bioaccumulation criterion."
52,CMP,conference of the parties serving as the meeting of the parties to the kyoto protocol,conference of the parties serving as the meeting of the parties to the kyoto protocol,"CMP conference of the parties serving as the meeting of the parties to the kyoto protocol capital master planAnnex DRAFT DECISION PROPOSED BY THE CHAIRMEN Draft decision --/CP.4 The Conference of the Parties, Recalling its decision 1/CP.3 on the adoption of the Kyoto Protocol, in particular its paragraph 6 of that decision on the allocation of preparatory work for the first session of the CMP, Further recalling the mandates of the Subsidiary Body for Scientific and Technological Advice and the Subsidiary Body for Implementation, as contained in Articles 9 and 10 of the United Nations Framework Convention on Climate Change and Article 15 of the Kyoto Protocol, and as elaborated by its decisions 6/CP.1"
53,CMP,conference of the parties serving as the meeting of the parties to the kyoto protocol,conference of the parties serving as the meeting of the parties to the kyoto protocol,CMP conference of the parties serving as the meeting of the parties to the kyoto protocol capital master planDecides: (a) That the preparatory work for the first session of the CMP shall be allocated to the respective subsidiary bodies as shown in annex I to this decision; (b) That this preparatory work shall be carried out according to the initial programme of work set out in annex II to this decision; (c) To review the initial programme of work set out in annex II to this decision at its
54,CMP,capital master plan,capital master plan,"CMP conference of the parties serving as the meeting of the parties to the kyoto protocol capital master planIn this context, the view was expressed that the CMP, along with proposals for its implementation, should be submitted by the Secretariat to the General Assembly for its review."
55,RR,regular resources,regular resources,"RR regular resources regular resources radius of the rolling rolling resistanceAs explained in paragraph 10 and shown in table 1, total resources including multi-bilateral funds of $29.3 million amount to 93-22928 (E) 170593 /... $504.3 million; total RR and multi-bilateral funds available for expenditure in 1992-1993 amount to $497.5 million ($461.5 million from RR and $36.0 m"
56,RR,regular resources,regular resources,"RR regular resources regular resources radius of the rolling rolling resistanceAudit opinion I.1 RR activities Statement II Assets, liabilities and reserves and fund balances at 31 December II.1 RR activities III.1 RR activities IV.1 RR activities Schedules to the accounts Schedule 8 Investments at 31 December Notes to the financial statements AfDB African Development Bank AsDB Asian Development Bank CEC Commission of the European Communities DEVNET Development Network EBRD European Bank for Reconstruction and Development ECA Economic Commissio"
57,RR,rolling resistance,rolling resistance,"RR regular resources regular resources radius of the rolling rolling resistanceThe expert from Sweden gave a further presentation of a study concerning the relation between noise emissions, friction and RR of car tyres (informal document No."
58,UNFPA,united nations population fund,united nations population fund,"UNFPA united nations population fund united nations population fund united nations population fundintroductory statements were made by the Under-Secretary-General for Policy Coordination and Sustainable Development, the Executive Director of the World Food Programme, the Deputy Executive Director of the United Nations Children's Fund, the Deputy Assistant Administrator of the United Nations Development Programme and the Deputy Director of the Information and External Relations Division of the UNFPA."
59,UNFPA,united nations population fund,united nations population fund,UNFPA united nations population fund united nations population fund united nations population fund73 - 76 19 CONTENTS (continued) F. UNFPA Fund .
60,UNFPA,united nations population fund,united nations population fund,UNFPA united nations population fund united nations population fund united nations population fundConsequences of new successor arrangements with the United Nations Development Programme and the UNFPA Fund Structure for the United Nations International Drug Control Programme United Nations telecommunications system 124.
61,SDS,strategic deployment stocks,strategic deployment stocks,"SDS strategic deployment stocks special development situationsd in paragraphs 11 to 16 below, the action to be taken by the General Assembly in respect of United Nations Transitional Administration for Eastern Slavonia, Baranja and Western Sirmium (UNTAES)/Civilian Police Support Group is as follows: a decision that Member States waive their respective shares in the cash balance of $35,799,000 to be applied to the resources required for the financing of the SDS."
62,SDS,strategic deployment stocks,strategic deployment stocks,"SDS strategic deployment stocks special development situations(b) To apportion the amount of $172,000 gross ($76,000 net) for the period from 1 July to 15 October 1999; (c) To offset the apportionment in subparagraph (b) above against the unencumbered balance of $7, 059,600 gross ($6,885,500 net); (d) To decide that Member States waive their respective shares in the cash balance of $18,213,000 to be applied to the resources required for the financing of the SDS."
63,IPCC,independent police complaints commission,independent police complaints commission,IPCC independent police complaints commission intergovernmental panel on climate changeIt would be interesting to know whether police officers could be prosecuted upon the completion of the criminal investigation opened to look into the causes of death or whether the conclusions of the initial inquiry conducted by the IPCC ruled out that possibility.
64,IPCC,intergovernmental panel on climate change,independent police complaints commission,"IPCC independent police complaints commission intergovernmental panel on climate changeFor example, the experience of the IPCC had shown the potential of the United Nations system as an effective forum, a G-192, in which Governments and the scientific community could come together to provide an interdisciplinary response."
65,NA,north africa,not applicable,"NA no accounting not applicable north africa not applicable not applicableIn this effort, the support of regional and United Nations organizations, including United Nations Resident Coordinators is being sought; (b) Establishing partnerships between national committees and organizations of countries at different development stages (as for example those planned by the German National Committee with developing countries from Latin America, NA and Central Asia; India with several neighbours and the ADPC; and the US Geological Survey with Latin American countries)."
66,NA,north africa,not applicable,"NA no accounting not applicable north africa not applicable not applicableF. Regional developments in South-West Asia, NA and the Middle East 150."
67,NA,north africa,not applicable,NA no accounting not applicable north africa not applicable not applicableThe Arab Security Studies and Training Centre has indicated readiness to cooperate with the Institute in undertaking certain activities of common interest in NA.
68,NA,not applicable,not applicable,"NA no accounting not applicable north africa not applicable not applicable(a) The use of controlled substances in Group I of Annex C is limited to those applications where other more environmentally suitable alternative substances or technologies are NA; (b) The use of controlled substances in Group I of Annex C is not outside the areas of application currently met by controlled substances in Annexes A, B and C, except in rare cases for the protection of human life or human health; and (c) Controlled substances in Group I of Annex C are selected for use in a manner that minimizes ozone depletion, in addition to meeting other environ"
69,NA,not applicable,no accounting,NA no accounting not applicable north africa not applicable not applicableC. Advisory Board on Compensation Claims: Review of statistics Description Year (to date) Total claims received Total incoming correspondence NA Est.
70,EC,european commission,european railway agency,"EC engineer contractor european commission european community european railway agency ep and councilThe Committee noted that: ""The Spanish reservation on article 5, paragraph 2(a), precludes the examination of the same matter if it had been submitted to the EC."
71,EC,european community,european railway agency,EC engineer contractor european commission european community european railway agency ep and councilItem 5: Presentation of documents and activities of the EC and other organizations relating to the subject 6.
72,EC,european community,european railway agency,EC engineer contractor european commission european community european railway agency ep and councilThe EC and its member States take this opportunit
73,EC,european community,european railway agency,EC engineer contractor european commission european community european railway agency ep and councilPresentation of the documents and activities of the EC and other organizations relating to the subject 6.
74,EC,european community,european railway agency,EC engineer contractor european commission european community european railway agency ep and councilThe EC and its member States pay tribute to the vision and courage of the Israeli and Palestinian leaders who have managed to overcome numerous and thorny obstacles in order to lay the foundations for a better future for both their peoples.
75,HCFC-22,hydrochlorofluorocarbon22,hydrochlorofluorocarbon22,"HCFC-22 hydrochlorofluorocarbon22 hydrochlorofluorocarbon22To request the Technology and Economic Assessment Panel to provide information on current and future demand for, and supply of, hydrochlorofluorocarbons, giving full consideration to the influence of the Clean Development Mechanism on HCFC-22 production, as well as on the availability of alternatives to hydrochlorofluorocarbons; 3."
76,ILO,international labour organisation,international labour organisation,"ILO international labour organisation international labour organisationThis full-colour, illustrated book was produced in cooperation with the ILO, the Food and Agriculture Organization of the United Nations, the Office of the United Nations High Commissioner for Refugees, the United Nations Children's Fund (UNICEF) and the United Nations Development Programme (UNDP)."
77,ILO,international labour organisation,international labour organisation,"ILO international labour organisation international labour organisationAt the same meeting, the representative of the ILO made a statement."
78,MSEC,mass of secondary dilution,mass of secondary dilution,"MSEC mass of secondary dilution mass of secondary dilution air kg if the particulate background level of the dilution air is determined in accordance with paragraph mass of secondary dilutionas follows: mPM = [pic] (51) med is the mass of diluted exhaust gas over the cycle, kg msep = mset - mssd (52) mset is the mass of double diluted exhaust gas through particulate filter, kg mssd is the MSEC, kg If the particulate background level of the dilution air is determined in accordance with paragraph 7.8.2.5, the particulate mass may be background corrected."
79,MSEC,mass of secondary dilution,mass of secondary dilution,"MSEC mass of secondary dilution mass of secondary dilution air kg if the particulate background level of the dilution air is determined in accordance with paragraph mass of secondary dilutionas follows: mPM = [pic] (51) med is the mass of diluted exhaust gas over the cycle, kg msep = mset - mssd (52) mset is the mass of double diluted exhaust gas through particulate filter, kg mssd is the MSEC air, kg If the particulate background level of the dilution air is determined in accordance with paragraph 7.8.2.5, the particulate mass may be background corrected."
80,FAO,food and agriculture organisation of the united nations,food and agriculture organisation of the united nations,"FAO food and agriculture organisation of the united nations food and agriculture organisation of the united nations food and agriculture organisation of the united nations food and agricultural organizationThis full-colour, illustrated book was produced in cooperation with the International Labour Organisation, the FAO, the Office of the United Nations High Commissioner for Refugees, the United Nations Children's Fund (UNICEF) and the United Nations Development Programme (UNDP)."
81,FAO,food and agriculture organisation of the united nations,food and agriculture organisation of the united nations,FAO food and agriculture organisation of the united nations food and agriculture organisation of the united nations food and agriculture organisation of the united nations food and agricultural organization7 FAOs .
82,FAO,food and agriculture organisation of the united nations,food and agriculture organisation of the united nations,"FAO food and agriculture organisation of the united nations food and agriculture organisation of the united nations food and agriculture organisation of the united nations food and agricultural organizationb) Better use of existing financial supporting mechanisms for non-EU member States sharing river basins with the EU and supporting initiatives, particularly the EU Water Initiative's component for Eastern Europe, the Caucasus and Central Asia as well as the Balkan countries, as well as the clustering of programmes, carried out under the auspices of the United Nations Environment Programme and the FAO with sustainable regional management based on river-basin-based flood management; (c) Taking into account the principles of the Convention on Environmental Impact Assessment in a Transboundary Context and its Protocol on Strategic Environmental Assessment in order to better integrate environmental and health considerations in the preparation"
83,MONUC,united nations observer mission in the democratic republic of the congo,united nations observer mission in the democratic republic of the congo,MONUC united nations observer mission in the democratic republic of the congo united nations observer mission in the democratic republic of the congo united nations observer mission in the democratic republic of the congo united nations observer mission in the democratic republic of the congo united nations observer mission in the democratic republic of the congoJuly 2000 to 30 June 2001 ECOMOG Monitoring Group of the Economic Community of West African States ECOWAS IMF International Monetary Fund United Nations Verification Mission in Guatemala MINURCA United Nations Mission in the Central African Republic United Nations Mission for the Referendum in Western Sahara United Nations Civilian Police Mission in Haiti United Nations Observer Mission in Angola MONUC OAU Organization of African Unity ONUCA United Nations Observer Group in Central America ONUSAL United Nations Observer Mission in El Salvador OSCE UNAMET United Nations Mission in East Timor United Nations Advance Mission in Cambodia UNAMIR United Nations Assistance Mission for Rwanda UNAMSIL United Nations Mission in Sie
84,MONUC,united nations observer mission in the democratic republic of the congo,united nations observer mission in the democratic republic of the congo,"MONUC united nations observer mission in the democratic republic of the congo united nations observer mission in the democratic republic of the congo united nations observer mission in the democratic republic of the congo united nations observer mission in the democratic republic of the congo united nations observer mission in the democratic republic of the congoPursuant to rule 15 of the rules of procedure of the General Assembly, the Secretary-General has the honour to request the inclusion in the agenda of the fifty-fourth session of the General Assembly of an additional item, entitled ""Financing of the MONUC""."
85,MONUC,united nations observer mission in the democratic republic of the congo,united nations observer mission in the democratic republic of the congo,MONUC united nations observer mission in the democratic republic of the congo united nations observer mission in the democratic republic of the congo united nations observer mission in the democratic republic of the congo united nations observer mission in the democratic republic of the congo united nations observer mission in the democratic republic of the congoFinancing of the MONUC.
